topic_id;title;pid;video_id;youtube_url
161;[VÍDEO] BRUNO SHOW - APRESENTAÇÕES - BRUNO SHOW;161;fe655HlwUeg;https://youtu.be/fe655HlwUeg
162;[VÍDEO] BRUNO SHOW - APRESENTAÇÕES - JOGO DO IPHONE 4;162;OYk7MCtNkZc;https://youtu.be/OYk7MCtNkZc
163;[VÍDEO] BRUNO SHOW - APRESENTAÇÕES - IPHONE 4;163;_d8uyY16zkM;https://youtu.be/_d8uyY16zkM
164;[VÍDEO] BRUNO SHOW - APRESENTAÇÕES - MEU BISAVÔ;164;3faM8dcIp5Q;https://youtu.be/3faM8dcIp5Q
165;[VÍDEO] BRUNO SHOW - ENGRAÇADOS - MISTURA 001;165;ufGGwkdttyQ;https://youtu.be/ufGGwkdttyQ
166;[VÍDEO] BRUNO SHOW - APRESENTAÇÕES - QUEIJO CAGADÃO;166;PDGEjJ9O-IY;https://youtu.be/PDGEjJ9O-IY
167;[VÍDEO] BRUNO SHOW - DESTRUIÇÃO - CARRO CONTROLE REMOTO;167;Mo8HYKi2-P4;https://youtu.be/Mo8HYKi2-P4
168;[VÍDEO] BRUNO SHOW - MÚSICA - A DANÇA DO BRUNO NA AULA;168;clUrvv3usdo;https://youtu.be/clUrvv3usdo
169;[VÍDEO] BRUNO SHOW - DESENHO - MILIONÁRIO;169;YD3DkamM7ls;https://youtu.be/YD3DkamM7ls
170;[VÍDEO] BRUNO SHOW - ESPECIAIS - EU DESCENDO NO ESQUIBUNDA;170;fGUR14B9qCg;https://youtu.be/fGUR14B9qCg
171;[VÍDEO] BRUNO SHOW - ESPECIAIS - EU SENTI MUITA DOR E MUITO CANSAÇO SUBINDO A DUNA MUITO QUENTE;171;MVRgwPYjveQ;https://youtu.be/MVRgwPYjveQ
172;[VÍDEO] BRUNO SHOW - NORMAL - CENÁRIO;172;d3LM8ZqMt9Q;https://youtu.be/d3LM8ZqMt9Q
173;[VÍDEO] BRUNO SHOW - NORMAL - VÍDEOS;173;377l91I_AEo;https://youtu.be/377l91I_AEo
174;[VÍDEO] BRUNO SHOW - ESPECIAIS - PARANORMAL;174;yXDRb-wzbCo;https://youtu.be/yXDRb-wzbCo
175;[VÍDEO] BRUNO SHOW - ESPECIAIS - JOGO DE AIR HOCKEY NA MESA;175;zFfeHUsldU8;https://youtu.be/zFfeHUsldU8
176;[VÍDEO] BRUNO SHOW - ESPECIAIS - LUTA;176;LGNwKEBaI-g;https://youtu.be/LGNwKEBaI-g
177;[VÍDEO] BRUNO SHOW - DESTRUIÇÃO - PENDRIVE8GB;177;ZFCFwTLNQQQ;https://youtu.be/ZFCFwTLNQQQ
177;[VÍDEO] BRUNO SHOW - DESTRUIÇÃO - PENDRIVE8GB;177;R259a0gSJfo;https://youtu.be/R259a0gSJfo
177;[VÍDEO] BRUNO SHOW - DESTRUIÇÃO - PENDRIVE8GB;177;EaGNu3MtGgs;https://youtu.be/EaGNu3MtGgs
178;[VÍDEO] BRUNO SHOW - APRESENTAÇÕES - O PRÉDIO DA MINHA MÃE;178;cPKJ_XGPLzk;https://youtu.be/cPKJ_XGPLzk
179;[VÍDEO] BRUNO SHOW - DESTRUIÇÃO - PILHA;179;p9ZHCstYSNA;https://youtu.be/p9ZHCstYSNA
180;[VÍDEO] BRUNO SHOW - DESTRUIÇÃO - APITO DE VARA;180;6HYnRSE_IB8;https://youtu.be/6HYnRSE_IB8
